Weather,Time of day,Budget,Physicality level,Environment,Group size,Activity
snowy,morning,medium,1,indoors,3,Movie
sunny,afternoon,low,1,indoors,4+,Board games
sunny,afternoon,low,2,outdoors,4+,Beach
sunny,morning,medium,1,indoors,3,Museum
snowy,afternoon,medium,2,indoors,2,Yoga
sunny,afternoon,low,2,outdoors,4+,Beach
rainy,afternoon,high,1,indoors,2,Eating out
sunny,morning,medium,2,indoors,3,Cooking class
sunny,evening,low,1,outdoors,4+,Beach
sunny,evening,low,1,outdoors,1,Park
cloudy,evening,low,3,outdoors,3,Hiking
sunny,afternoon,medium,2,indoors,2,Yoga
snowy,evening,medium,2,indoors,2,Yoga
sunny,afternoon,medium,3,outdoors,1,Hiking
sunny,evening,medium,2,indoors,2,Cooking class
sunny,evening,low,3,outdoors,2,Biking
sunny,morning,medium,1,indoors,2,Movie
cloudy,afternoon,medium,2,indoors,4+,Escape room
sunny,morning,medium,2,indoors,1,Yoga
sunny,evening,medium,1,indoors,3,Movie
sunny,afternoon,high,1,outdoors,3,Zoo
cloudy,morning,low,1,outdoors,4+,Park
sunny,evening,medium,3,outdoors,3,Hiking
sunny,afternoon,low,1,outdoors,4+,Picnic
sunny,evening,medium,1,indoors,1,Museum
sunny,evening,medium,2,indoors,3,Cooking class
rainy,morning,medium,1,indoors,2,Karaoke
sunny,evening,low,1,outdoors,3,Stargazing
sunny,morning,low,3,outdoors,4+,Hiking
snowy,afternoon,high,1,indoors,4+,Eating out
cloudy,evening,low,1,indoors,4+,Board games
sunny,afternoon,medium,3,outdoors,2,Swimming
cloudy,morning,medium,2,indoors,3,Cooking class
sunny,evening,low,3,outdoors,2,Beach
sunny,evening,medium,2,indoors,1,Yoga
cloudy,evening,low,1,outdoors,4+,Picnic
cloudy,evening,low,3,outdoors,2,Biking
sunny,evening,medium,1,indoors,2,Movie
snowy,evening,high,3,outdoors,2,Skiing
cloudy,evening,low,1,outdoors,2,Park
sunny,evening,low,3,outdoors,4+,Beach
cloudy,evening,medium,1,indoors,3,Comedy
rainy,evening,low,1,outdoors,3,Stargazing
sunny,evening,low,3,outdoors,2,Biking
rainy,morning,medium,1,indoors,1,Museum
sunny,evening,low,3,outdoors,3,Surfing
sunny,evening,medium,2,outdoors,2,Swimming
sunny,afternoon,low,1,outdoors,4+,Beach
snowy,afternoon,high,3,outdoors,4+,Skiing
cloudy,morning,low,3,outdoors,4+,Biking
snowy,evening,medium,3,indoors,2,Gym
sunny,morning,low,3,outdoors,3,Hiking
snowy,evening,high,3,outdoors,1,Skiing
sunny,afternoon,high,1,outdoors,4+,Concert
snowy,afternoon,medium,1,indoors,3,Karaoke
sunny,morning,low,1,outdoors,3,Beach
sunny,afternoon,low,3,outdoors,2,Surfing
cloudy,afternoon,low,1,outdoors,1,Stargazing
sunny,evening,low,2,outdoors,3,Beach
sunny,morning,low,3,outdoors,2,Beach
sunny,evening,low,3,outdoors,2,Beach
snowy,morning,medium,2,indoors,2,Cooking class
cloudy,morning,low,1,outdoors,4+,Picnic
cloudy,morning,high,1,indoors,4+,Eating out
sunny,evening,low,1,outdoors,2,Beach
sunny,morning,low,2,outdoors,3,Beach
cloudy,afternoon,low,1,outdoors,3,Park
cloudy,evening,low,1,outdoors,4+,Stargazing
cloudy,evening,medium,1,indoors,4+,Comedy
cloudy,morning,medium,1,indoors,4+,Comedy
cloudy,morning,high,1,outdoors,4+,Concert
cloudy,evening,medium,3,indoors,2,Gym
sunny,afternoon,high,1,outdoors,2,Zoo
rainy,afternoon,medium,1,indoors,3,Karaoke
sunny,evening,low,2,outdoors,2,Kite flying
snowy,evening,medium,1,indoors,4+,Museum
cloudy,afternoon,high,1,outdoors,4+,Concert
sunny,morning,low,3,outdoors,3,Hiking
snowy,evening,medium,1,indoors,2,Movie
sunny,evening,low,2,outdoors,2,Kite flying
snowy,afternoon,low,1,indoors,4+,Board games
rainy,morning,high,1,indoors,2,Eating out
cloudy,evening,medium,1,indoors,3,Karaoke
sunny,morning,low,3,outdoors,3,Biking
snowy,morning,medium,2,indoors,3,Cooking class
cloudy,morning,medium,3,outdoors,2,Hiking
sunny,evening,high,1,indoors,4+,Eating out
snowy,afternoon,medium,2,indoors,2,Yoga
sunny,afternoon,low,3,outdoors,4+,Biking
snowy,afternoon,medium,1,indoors,4+,Comedy
sunny,afternoon,low,3,outdoors,4+,Hiking
sunny,evening,medium,2,indoors,1,Yoga
snowy,morning,medium,1,indoors,3,Movie
cloudy,afternoon,medium,2,indoors,4+,Yoga
sunny,morning,medium,3,outdoors,2,Swimming
rainy,afternoon,medium,2,indoors,3,Cooking class
sunny,evening,medium,3,indoors,1,Gym
rainy,afternoon,medium,2,indoors,4+,Yoga
rainy,morning,medium,2,indoors,1,Yoga
sunny,evening,low,3,outdoors,1,Biking
snowy,evening,low,1,outdoors,3,Stargazing
sunny,afternoon,medium,2,outdoors,4+,Swimming
cloudy,morning,high,1,outdoors,4+,Zoo
sunny,afternoon,high,1,outdoors,4+,Concert
rainy,morning,low,1,outdoors,1,Stargazing
snowy,morning,medium,1,indoors,1,Museum
rainy,evening,low,1,indoors,4+,Board games
sunny,morning,medium,2,indoors,4+,Cooking class
snowy,afternoon,medium,3,indoors,1,Gym
sunny,morning,low,3,outdoors,3,Beach
cloudy,morning,low,3,outdoors,1,Hiking
sunny,afternoon,low,3,outdoors,2,Hiking
rainy,morning,medium,1,indoors,2,Comedy
sunny,afternoon,medium,3,outdoors,4+,Swimming
snowy,evening,medium,2,indoors,3,Cooking class
rainy,morning,medium,2,indoors,4+,Bowling
snowy,morning,low,1,outdoors,4+,Stargazing
cloudy,evening,high,1,outdoors,4+,Concert
sunny,morning,medium,1,indoors,4+,Comedy
snowy,morning,high,1,indoors,2,Eating out
cloudy,evening,medium,3,outdoors,2,Hiking
cloudy,afternoon,high,1,indoors,4+,Eating out
snowy,morning,high,3,outdoors,4+,Skiing
sunny,morning,medium,2,outdoors,3,Swimming
sunny,evening,low,1,outdoors,3,Park
sunny,morning,medium,1,indoors,4+,Comedy
sunny,afternoon,low,1,outdoors,4+,Picnic
rainy,morning,high,1,indoors,3,Eating out
sunny,afternoon,low,1,outdoors,4+,Park
snowy,morning,medium,1,indoors,3,Museum
sunny,evening,low,3,outdoors,3,Hiking
sunny,morning,medium,2,outdoors,2,Swimming
rainy,afternoon,medium,1,indoors,1,Museum
snowy,morning,medium,2,indoors,3,Cooking class
rainy,evening,medium,1,indoors,2,Comedy
cloudy,morning,high,1,indoors,2,Eating out
sunny,afternoon,medium,3,indoors,2,Gym
sunny,afternoon,low,1,outdoors,3,Stargazing
sunny,evening,medium,2,indoors,4+,Yoga
rainy,evening,low,2,outdoors,2,Kite flying
rainy,morning,medium,2,indoors,4+,Yoga
rainy,morning,medium,1,indoors,2,Comedy
sunny,afternoon,medium,2,outdoors,3,Swimming
sunny,morning,low,3,outdoors,3,Biking
cloudy,afternoon,medium,1,indoors,3,Karaoke
cloudy,afternoon,high,1,outdoors,4+,Concert
sunny,evening,medium,3,outdoors,4+,Hiking
snowy,afternoon,high,1,indoors,3,Eating out
cloudy,afternoon,high,1,indoors,2,Eating out
sunny,evening,low,1,outdoors,3,Park
cloudy,morning,medium,3,outdoors,3,Hiking
rainy,evening,medium,1,indoors,4+,Karaoke
rainy,evening,medium,1,indoors,3,Museum
sunny,afternoon,high,1,outdoors,2,Zoo
sunny,afternoon,high,1,outdoors,3,Zoo
sunny,evening,low,3,outdoors,2,Beach
rainy,morning,low,1,outdoors,2,Stargazing
snowy,afternoon,high,3,outdoors,3,Skiing
sunny,morning,medium,2,outdoors,3,Swimming
sunny,afternoon,medium,1,indoors,3,Comedy
cloudy,afternoon,high,1,indoors,2,Eating out
cloudy,evening,medium,1,indoors,3,Movie
cloudy,morning,high,1,outdoors,3,Concert
cloudy,evening,medium,2,indoors,3,Yoga
rainy,evening,high,1,indoors,2,Eating out
snowy,morning,low,1,outdoors,4+,Stargazing
sunny,evening,low,3,outdoors,3,Beach
sunny,evening,low,3,outdoors,4+,Hiking
snowy,afternoon,medium,1,indoors,2,Movie
snowy,evening,medium,2,indoors,4+,Bowling
rainy,evening,medium,2,indoors,4+,Yoga
sunny,afternoon,low,2,outdoors,1,Kite flying
cloudy,evening,medium,2,indoors,3,Cooking class
sunny,morning,medium,2,indoors,4+,Cooking class
snowy,afternoon,medium,1,indoors,2,Karaoke
rainy,evening,medium,1,indoors,2,Karaoke
rainy,evening,medium,2,indoors,2,Yoga
cloudy,evening,medium,1,indoors,4+,Museum
sunny,morning,high,1,indoors,3,Eating out
sunny,morning,medium,1,indoors,4+,Karaoke
sunny,evening,medium,2,indoors,2,Cooking class
rainy,morning,low,1,outdoors,1,Stargazing
sunny,evening,high,1,outdoors,2,Zoo
snowy,afternoon,medium,1,indoors,4+,Comedy
sunny,afternoon,low,3,outdoors,3,Hiking
sunny,evening,low,3,outdoors,3,Surfing
rainy,evening,medium,1,indoors,2,Comedy
rainy,morning,low,1,outdoors,2,Stargazing
cloudy,morning,low,1,outdoors,4+,Picnic
sunny,afternoon,medium,1,indoors,1,Museum
snowy,afternoon,medium,1,indoors,2,Movie
sunny,evening,low,1,outdoors,4+,Stargazing
sunny,afternoon,medium,3,outdoors,4+,Hiking
sunny,morning,medium,3,indoors,1,Gym
cloudy,afternoon,low,3,outdoors,2,Biking
cloudy,morning,low,1,outdoors,2,Park
sunny,afternoon,medium,2,outdoors,2,Swimming
snowy,evening,medium,2,indoors,4+,Yoga
rainy,afternoon,medium,1,indoors,2,Karaoke
cloudy,afternoon,low,3,outdoors,2,Hiking
cloudy,evening,high,1,outdoors,3,Concert
sunny,morning,low,1,outdoors,2,Picnic
sunny,evening,low,2,outdoors,4+,Beach
rainy,evening,low,2,outdoors,1,Kite flying
rainy,morning,medium,1,indoors,2,Comedy
rainy,evening,low,1,outdoors,1,Stargazing
snowy,afternoon,medium,3,indoors,1,Gym
cloudy,afternoon,low,1,outdoors,2,Park
rainy,afternoon,low,1,outdoors,4+,Stargazing
snowy,morning,medium,1,indoors,2,Museum
sunny,afternoon,high,1,outdoors,2,Zoo
rainy,morning,medium,2,indoors,2,Cooking class
snowy,morning,low,1,outdoors,2,Stargazing
cloudy,morning,high,1,outdoors,2,Zoo
cloudy,morning,medium,1,indoors,1,Museum
rainy,morning,medium,2,indoors,2,Cooking class
sunny,afternoon,medium,2,indoors,3,Cooking class
rainy,evening,medium,1,indoors,4+,Karaoke
snowy,morning,medium,1,indoors,4+,Karaoke
cloudy,evening,medium,2,indoors,4+,Cooking class
snowy,evening,medium,2,indoors,4+,Escape room
rainy,evening,medium,1,indoors,4+,Karaoke
cloudy,morning,medium,1,indoors,2,Movie
cloudy,afternoon,low,1,outdoors,4+,Park
sunny,afternoon,low,3,outdoors,3,Biking
cloudy,afternoon,high,1,outdoors,2,Concert
sunny,afternoon,medium,1,indoors,3,Movie
cloudy,evening,low,1,outdoors,2,Picnic
sunny,evening,low,1,outdoors,3,Picnic
rainy,evening,medium,1,indoors,2,Comedy
cloudy,afternoon,medium,1,indoors,3,Karaoke
sunny,morning,medium,3,outdoors,3,Swimming
cloudy,afternoon,medium,3,indoors,2,Gym
snowy,afternoon,low,1,outdoors,1,Stargazing
sunny,afternoon,medium,2,indoors,3,Yoga
sunny,evening,medium,2,indoors,2,Yoga
snowy,afternoon,high,3,outdoors,3,Skiing
cloudy,evening,medium,1,indoors,2,Museum
cloudy,morning,low,1,outdoors,2,Park
cloudy,afternoon,medium,1,indoors,4+,Museum
snowy,morning,medium,3,indoors,1,Gym
cloudy,evening,low,1,outdoors,4+,Park
sunny,evening,low,1,outdoors,3,Stargazing
sunny,morning,low,3,outdoors,4+,Hiking
rainy,afternoon,low,2,outdoors,1,Kite flying
sunny,morning,medium,2,indoors,3,Yoga
snowy,morning,medium,2,indoors,4+,Cooking class
sunny,morning,medium,1,indoors,2,Comedy
snowy,evening,medium,2,indoors,3,Yoga
sunny,morning,medium,1,indoors,2,Museum
sunny,evening,high,1,indoors,2,Eating out
sunny,evening,high,1,outdoors,3,Concert
cloudy,morning,medium,1,indoors,2,Karaoke
cloudy,evening,high,1,outdoors,4+,Concert
sunny,evening,medium,2,outdoors,3,Swimming
sunny,morning,medium,1,indoors,4+,Museum
sunny,morning,low,3,outdoors,2,Biking
sunny,evening,low,3,outdoors,4+,Hiking
sunny,afternoon,low,3,outdoors,1,Biking
sunny,afternoon,medium,2,indoors,2,Yoga
rainy,evening,medium,3,indoors,2,Gym
snowy,afternoon,low,1,outdoors,3,Stargazing
sunny,morning,medium,1,indoors,2,Museum
cloudy,morning,medium,1,indoors,1,Museum
snowy,afternoon,medium,2,indoors,4+,Bowling
rainy,afternoon,medium,1,indoors,2,Movie
sunny,morning,low,3,outdoors,2,Surfing
snowy,morning,medium,1,indoors,2,Comedy
cloudy,evening,medium,2,indoors,4+,Bowling
cloudy,afternoon,low,1,outdoors,4+,Park
cloudy,evening,low,1,outdoors,3,Stargazing
sunny,afternoon,medium,2,indoors,4+,Escape room
sunny,morning,medium,2,outdoors,2,Swimming
snowy,evening,medium,2,indoors,2,Yoga
snowy,afternoon,high,1,indoors,4+,Eating out
cloudy,morning,medium,2,indoors,1,Yoga
rainy,evening,medium,2,indoors,3,Yoga
cloudy,afternoon,medium,3,outdoors,4+,Hiking
rainy,evening,medium,1,indoors,2,Comedy
sunny,morning,low,3,outdoors,4+,Beach
sunny,afternoon,low,3,outdoors,4+,Beach
sunny,evening,medium,3,outdoors,2,Swimming
rainy,afternoon,medium,2,indoors,2,Cooking class
cloudy,morning,medium,3,indoors,1,Gym
cloudy,evening,medium,2,indoors,2,Yoga
sunny,morning,medium,1,indoors,4+,Comedy
sunny,afternoon,low,3,outdoors,1,Biking
sunny,morning,low,1,indoors,4+,Board games
sunny,morning,low,1,indoors,4+,Board games
cloudy,morning,low,3,outdoors,3,Biking
rainy,morning,medium,1,indoors,1,Museum
sunny,evening,medium,2,outdoors,3,Swimming
rainy,morning,medium,3,indoors,1,Gym
snowy,afternoon,high,1,indoors,3,Eating out
sunny,evening,low,2,outdoors,2,Beach
snowy,evening,medium,1,indoors,2,Comedy
rainy,evening,medium,1,indoors,4+,Museum
sunny,afternoon,medium,2,outdoors,2,Swimming
rainy,afternoon,high,1,indoors,2,Eating out
cloudy,evening,high,1,outdoors,3,Concert
sunny,afternoon,medium,2,outdoors,2,Swimming
snowy,evening,medium,1,indoors,2,Museum
sunny,afternoon,high,1,outdoors,4+,Zoo
sunny,morning,low,1,outdoors,4+,Stargazing
cloudy,morning,high,1,indoors,3,Eating out
sunny,afternoon,medium,1,indoors,3,Karaoke
sunny,morning,low,3,outdoors,4+,Beach
sunny,evening,medium,1,indoors,2,Museum
snowy,afternoon,medium,2,indoors,2,Cooking class
cloudy,evening,low,1,outdoors,2,Park
rainy,morning,medium,1,indoors,3,Comedy
sunny,morning,low,3,outdoors,2,Hiking
cloudy,afternoon,low,3,outdoors,4+,Biking
cloudy,evening,medium,1,indoors,3,Karaoke
sunny,afternoon,medium,2,outdoors,1,Swimming
rainy,evening,medium,1,indoors,2,Comedy
sunny,afternoon,medium,2,indoors,3,Cooking class
cloudy,afternoon,medium,3,outdoors,1,Hiking
cloudy,afternoon,low,1,outdoors,4+,Park
sunny,morning,medium,1,indoors,3,Comedy
snowy,evening,low,1,outdoors,1,Stargazing
sunny,morning,low,1,outdoors,2,Stargazing
snowy,evening,medium,1,indoors,2,Movie
sunny,evening,medium,1,indoors,3,Comedy
cloudy,evening,medium,2,indoors,4+,Yoga
sunny,evening,low,1,outdoors,4+,Beach
sunny,evening,medium,3,outdoors,4+,Hiking
sunny,morning,low,1,outdoors,3,Picnic
sunny,afternoon,low,2,outdoors,4+,Beach
sunny,afternoon,high,1,indoors,3,Eating out
sunny,evening,medium,2,indoors,4+,Yoga
snowy,evening,medium,3,indoors,1,Gym
snowy,evening,high,3,outdoors,3,Skiing
sunny,evening,low,3,outdoors,3,Beach
sunny,morning,medium,3,outdoors,2,Hiking
cloudy,morning,low,3,outdoors,3,Biking
sunny,afternoon,medium,2,indoors,4+,Cooking class
cloudy,evening,medium,1,indoors,2,Movie
sunny,evening,medium,1,indoors,2,Movie
cloudy,afternoon,medium,1,indoors,3,Comedy
sunny,afternoon,medium,2,indoors,2,Cooking class
cloudy,evening,low,1,outdoors,4+,Picnic
cloudy,morning,low,3,outdoors,1,Hiking
sunny,morning,low,2,outdoors,2,Beach
rainy,morning,high,1,indoors,2,Eating out
snowy,morning,medium,2,indoors,4+,Escape room
sunny,afternoon,medium,2,indoors,4+,Yoga
sunny,evening,medium,2,indoors,4+,Cooking class
cloudy,morning,low,3,outdoors,1,Hiking
cloudy,morning,medium,1,indoors,3,Movie
snowy,afternoon,medium,1,indoors,2,Comedy
sunny,afternoon,low,3,outdoors,1,Hiking
sunny,afternoon,medium,2,outdoors,3,Swimming
cloudy,evening,medium,1,indoors,2,Karaoke
rainy,afternoon,medium,1,indoors,3,Movie
cloudy,morning,low,3,outdoors,2,Biking
sunny,morning,low,1,outdoors,4+,Park
rainy,afternoon,high,1,indoors,2,Eating out
cloudy,morning,medium,1,indoors,2,Comedy
rainy,morning,high,1,indoors,4+,Eating out
cloudy,morning,medium,3,indoors,2,Gym
cloudy,morning,medium,3,indoors,2,Gym
rainy,morning,medium,1,indoors,1,Museum
sunny,afternoon,medium,3,outdoors,1,Swimming
cloudy,evening,low,3,outdoors,4+,Hiking
rainy,morning,medium,2,indoors,1,Yoga
rainy,evening,medium,2,indoors,4+,Escape room
sunny,afternoon,low,3,outdoors,2,Biking
snowy,morning,medium,2,indoors,4+,Cooking class
rainy,evening,medium,2,indoors,4+,Yoga
cloudy,morning,medium,3,indoors,1,Gym
rainy,evening,medium,2,indoors,3,Yoga
cloudy,morning,medium,1,indoors,3,Museum
snowy,morning,medium,2,indoors,4+,Cooking class
cloudy,afternoon,low,1,outdoors,1,Park
sunny,evening,low,1,outdoors,2,Stargazing
cloudy,morning,low,3,outdoors,3,Biking
cloudy,afternoon,high,1,indoors,3,Eating out
cloudy,afternoon,medium,1,indoors,4+,Karaoke
snowy,afternoon,medium,3,indoors,2,Gym
snowy,afternoon,medium,2,indoors,3,Yoga
snowy,afternoon,medium,1,indoors,2,Comedy
sunny,morning,medium,3,outdoors,1,Hiking
snowy,afternoon,medium,2,indoors,1,Yoga
sunny,evening,medium,3,outdoors,4+,Hiking
rainy,evening,low,1,indoors,4+,Board games
sunny,evening,low,3,outdoors,2,Surfing
sunny,morning,medium,3,outdoors,2,Swimming
rainy,morning,medium,3,indoors,1,Gym
snowy,morning,medium,3,indoors,1,Gym
sunny,morning,low,1,outdoors,4+,Picnic
sunny,afternoon,medium,2,indoors,3,Cooking class
sunny,morning,medium,3,outdoors,4+,Swimming
snowy,afternoon,medium,2,indoors,2,Cooking class
rainy,afternoon,medium,1,indoors,4+,Karaoke
cloudy,morning,low,1,outdoors,3,Park
sunny,evening,low,3,outdoors,1,Biking
sunny,afternoon,low,2,outdoors,2,Kite flying
snowy,afternoon,medium,2,indoors,3,Yoga
cloudy,evening,high,1,indoors,3,Eating out
snowy,morning,medium,1,indoors,3,Karaoke
cloudy,morning,medium,1,indoors,3,Movie
cloudy,morning,low,1,outdoors,3,Park
cloudy,morning,medium,3,indoors,1,Gym
sunny,morning,medium,1,indoors,3,Museum
cloudy,afternoon,high,1,indoors,2,Eating out
rainy,evening,medium,1,indoors,1,Museum
sunny,evening,high,1,outdoors,3,Zoo
rainy,evening,medium,1,indoors,4+,Comedy
cloudy,evening,low,3,outdoors,4+,Biking
rainy,afternoon,medium,1,indoors,3,Museum
sunny,morning,low,1,outdoors,3,Picnic
sunny,afternoon,medium,2,outdoors,2,Swimming
sunny,evening,high,1,outdoors,4+,Concert
cloudy,evening,low,1,outdoors,4+,Stargazing
snowy,morning,high,1,indoors,3,Eating out
snowy,evening,medium,2,indoors,4+,Cooking class
snowy,evening,low,1,outdoors,3,Stargazing
snowy,evening,medium,1,indoors,4+,Museum
cloudy,afternoon,medium,1,indoors,1,Museum
cloudy,evening,low,1,outdoors,3,Picnic
sunny,evening,low,3,outdoors,2,Hiking
rainy,afternoon,high,1,indoors,4+,Eating out
cloudy,evening,medium,1,indoors,3,Karaoke
cloudy,afternoon,medium,3,indoors,2,Gym
rainy,morning,low,1,outdoors,2,Stargazing
cloudy,evening,medium,1,indoors,1,Museum
sunny,afternoon,medium,2,outdoors,2,Swimming
snowy,evening,medium,2,indoors,4+,Escape room
rainy,afternoon,medium,2,indoors,3,Yoga
rainy,morning,medium,1,indoors,3,Museum
sunny,morning,low,1,outdoors,1,Park
sunny,afternoon,low,2,outdoors,2,Beach
sunny,morning,medium,3,outdoors,3,Hiking
sunny,morning,medium,1,indoors,3,Museum
cloudy,morning,high,1,outdoors,2,Concert
sunny,afternoon,medium,2,indoors,3,Cooking class
sunny,evening,high,1,outdoors,2,Concert
sunny,afternoon,low,3,outdoors,1,Biking
sunny,morning,medium,2,indoors,4+,Yoga
cloudy,morning,low,3,outdoors,3,Hiking
snowy,morning,medium,1,indoors,2,Museum
cloudy,evening,low,3,outdoors,4+,Biking
rainy,afternoon,medium,1,indoors,4+,Karaoke
sunny,afternoon,high,1,outdoors,2,Concert
rainy,evening,medium,1,indoors,2,Museum
sunny,afternoon,medium,1,indoors,4+,Karaoke
snowy,morning,medium,2,indoors,1,Yoga
snowy,afternoon,medium,2,indoors,4+,Escape room
snowy,morning,medium,2,indoors,4+,Bowling
cloudy,afternoon,low,1,outdoors,1,Park
sunny,afternoon,medium,2,indoors,3,Cooking class
cloudy,morning,medium,3,outdoors,1,Hiking
sunny,morning,medium,3,outdoors,1,Swimming
sunny,evening,medium,2,indoors,4+,Bowling
cloudy,evening,low,1,outdoors,3,Stargazing
sunny,afternoon,medium,2,indoors,2,Yoga
sunny,morning,low,1,outdoors,2,Beach
rainy,evening,medium,2,indoors,4+,Yoga
cloudy,afternoon,high,1,indoors,4+,Eating out
cloudy,morning,low,3,outdoors,2,Hiking
cloudy,evening,medium,1,indoors,3,Museum
cloudy,evening,low,3,outdoors,3,Biking
rainy,evening,medium,1,indoors,2,Movie
sunny,afternoon,low,1,indoors,4+,Board games
cloudy,afternoon,low,1,outdoors,2,Picnic
sunny,morning,medium,3,outdoors,4+,Hiking
snowy,evening,high,1,indoors,3,Eating out
sunny,morning,low,1,outdoors,2,Park
sunny,evening,low,1,indoors,4+,Board games
cloudy,evening,medium,1,indoors,1,Museum
sunny,evening,medium,3,outdoors,4+,Hiking
sunny,morning,medium,1,indoors,2,Movie
rainy,evening,medium,1,indoors,4+,Comedy
cloudy,afternoon,medium,3,outdoors,2,Hiking
snowy,evening,medium,2,indoors,4+,Escape room
cloudy,afternoon,medium,2,indoors,4+,Bowling
sunny,evening,low,1,outdoors,3,Park
cloudy,afternoon,medium,1,indoors,2,Museum
sunny,evening,low,3,outdoors,4+,Beach
cloudy,morning,medium,3,outdoors,2,Hiking
cloudy,afternoon,low,1,outdoors,4+,Picnic
sunny,evening,medium,2,indoors,2,Yoga
sunny,evening,high,1,indoors,3,Eating out
snowy,evening,medium,2,indoors,3,Cooking class
rainy,evening,low,1,outdoors,3,Stargazing
cloudy,afternoon,medium,2,indoors,3,Cooking class
rainy,afternoon,high,1,indoors,3,Eating out
sunny,afternoon,medium,3,outdoors,1,Swimming
cloudy,morning,low,1,outdoors,1,Park
rainy,evening,low,1,indoors,4+,Board games
cloudy,afternoon,medium,1,indoors,1,Museum
sunny,evening,medium,2,indoors,2,Yoga
snowy,afternoon,medium,2,indoors,4+,Escape room
cloudy,evening,medium,3,outdoors,3,Hiking
cloudy,morning,low,1,outdoors,3,Stargazing
sunny,afternoon,low,3,outdoors,1,Biking
snowy,afternoon,medium,1,indoors,3,Museum
cloudy,afternoon,medium,1,indoors,2,Karaoke
cloudy,evening,high,1,outdoors,2,Zoo
